,name,contract_address
0,Origin Protocol,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26
1,CWallet,0xd55236d48606c295adebf129dad04fc74bfaa708
2,Ethereum Push Notification Service,0xf418588522d5dd018b425E472991E52EBBeEEEEE
3,SKALE Network,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7
4,Magic Internet Money,0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3
5,Balancer,0xba100000625a3754423978a60c9317c58a424e3D
6,Polymath,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec
7,Flesh Token,0x25d4BFeeaE3360E68C466c65A5E8f8D5CEBc5093
8,NYM,0x525A8F6F3Ba4752868cde25164382BfbaE3990e1
9,Decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
10,1inch Network,0x111111111117dc0aa78b770fa6a738034120c302
11,UMA,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828
12,Rari Governance Token,0xd291e7a03283640fdc51b121ac401383a46cc623
13,Mirror Protocol,0x09a3EcAFa817268f77BE1283176B946C4ff2E608
14,Frax,0x853d955acef822db058eb8505911ed77f175b99e
15,DeepCloud AI,0x6cbedec4f1ac9d874987d2769596544e0d9161ab
16,ParaSwap,0xcafe001067cdef266afb7eb5a286dcfd277f3de5
17,PathDAO,0x2a2550e0a75acec6d811ae3930732f7f3ad67588
18,Adventure Gold,0x32353a6c91143bfd6c7d363b546e62a9a2489a20
19,DexKit,0x7866e48c74cbfb8183cd1a929cd9b95a7a5cb4f4
20,API3,0x0b38210ea11411557c13457D4dA7dC6ea731B88a
21,Cryptex Finance,0x321c2fe4446c7c963dc41dd58879af648838f98d
22,Governor DAO,0x515d7e9d75e2b76db60f8a051cd890eba23286bc
23,bZx Protocol,0x56d811088235F11C8920698a204A5010a788f4b3
24,Multichain,0x65ef703f5594d2573eb71aaf55bc0cb548492df4
25,Serum,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff
26,TRVL,0xd47bdf574b4f76210ed503e0efe81b58aa061f3d
27,Occam.Fi,0x2f109021afe75b949429fe30523ee7c0d5b27207
28,dForce,0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0
29,DFBTC,0x060924fb947e37eee230d0b1a71d9618aec269fc
30,Pendle,0x808507121b80c02388fad14726482e061b8da827
31,Daneel,0x9b70740e708a083c6ff38df52297020f5dfaa5ee
32,Riot Racers,0xf56408077487cb879c992909c5b5c66d68c02eb4
33,AladdinDAO,0xb26C4B3Ca601136Daf98593feAeff9E0CA702a8D
34,Lido DAO Token,0x5a98fcbea516cf06857215779fd812ca3bef1b32
35,Aavegotchi,0x3F382DbD960E3a9bbCeaE22651E88158d2791550
36,Conjure,0x00A55375002f3cDa400383F479e7Cd57Bad029A9
37,Dego Finance,0x88ef27e69108b2633f8e1c184cc37940a075cc02
38,Braintrust,0x799ebfabe77a6e34311eeee9825190b9ece32824
39,Wilder World,0x2a3bff78b79a009976eea096a51a948a3dc00e34
40,Akropolis,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7
41,Covalent,0xD417144312DbF50465b1C641d016962017Ef6240
42,Global Coin Research,0x6307b25a665efc992ec1c1bc403c38f3ddd7c661
